Array Size,QSort Time (ms),Bubble Sort Time (ms)
20000,2.998000,663.646000
30000,2.690000,1559.051000
40000,3.726000,2822.996000
50000,4.585000,4663.210000
60000,5.690000,6879.967000
70000,6.839000,9446.789000
80000,7.858000,12352.939000
90000,8.963000,15757.359000
100000,10.163000,19480.955000
